relationship,run_id,run,method,seed,target_module,layer,predictor,outcome,slope,intercept,correlation,r_squared,n_points
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.004832777380943283,0.03846948035061361,0.8246286559057765,0.6800124201409675,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.004022710770368575,0.028562486171722412,0.834053641067267,0.6956454761775654,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.0038428030908107596,0.02986714802682401,0.8436591049083066,0.7117606852946852,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,3.0,checkpoint_fraction,coefficient_update_rel,0.005005851387977582,0.031452525407075896,0.8332737060895479,0.6943450692602102,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,4.0,checkpoint_fraction,coefficient_update_rel,0.005004270374774927,0.031581927090883255,0.8338778090617593,0.69535220044564,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,q_proj,5.0,checkpoint_fraction,coefficient_update_rel,0.005268797278404242,0.03264601901173591,0.8353130494218849,0.6977478905344883,4
delta_m_vs_delta_d,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,up_proj,,delta_direction,delta_magnitude_rel,6.880127062023832,-0.0003409835610163041,0.6475262508757755,0.4192902455732378,24
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,up_proj,0.0,checkpoint_fraction,coefficient_update_rel,0.008810487389564498,0.06409204751253128,0.8344174118424141,0.696252417185793,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,up_proj,1.0,checkpoint_fraction,coefficient_update_rel,0.008509525656700098,0.06597845628857615,0.8164904973894876,0.6666567323273329,4
coefficient_update_vs_checkpoint,qdora-seed42-fp32,QDoRA-fp32 (seed 42),QDoRA-fp32,42,up_proj,2.0,checkpoint_fraction,coefficient_update_rel,0.008456513285636862,0.06599854305386545,0.8163715448794235,0.6664624992888166,4
